Date,Open,High,Low,Close,Volume,Market_Cap,DayOfWeek,Year,Month,Day
2013-08-04,0.005874,0.005927,0.005874,0.005882,0,45983577.0,Sunday,2013,8,4
2013-08-05,0.005875,0.00598,0.005613,0.005613,0,43879157.0,Monday,2013,8,5
2013-08-06,0.005637,0.005661,0.004629,0.00468,0,36591008.0,Tuesday,2013,8,6
2013-08-07,0.0046689999999999995,0.004682,0.004333,0.004417,0,34534121.0,Wednesday,2013,8,7
2013-08-08,0.004397,0.004424,0.004175,0.004254,0,33258632.0,Thursday,2013,8,8
2013-08-09,0.004257,0.004367,0.004253,0.004291,0,33547503.0,Friday,2013,8,9
2013-08-10,0.004291,0.004366,0.004279,0.004314,0,33724969.0,Saturday,2013,8,10
2013-08-11,0.004314,0.0044210000000000005,0.0043,0.004415,0,34518485.0,Sunday,2013,8,11
2013-08-12,0.004414,0.004520000000000001,0.004359,0.004449,0,34778195.0,Monday,2013,8,12
2013-08-13,0.004463,0.004463,0.004171,0.0042450000000000005,0,33190304.0,Tuesday,2013,8,13
2013-08-14,0.004267,0.004267,0.003785,0.003788,0,29617450.0,Wednesday,2013,8,14
2013-08-15,0.003788,0.003804,0.0030670000000000003,0.003092,0,24172681.0,Thursday,2013,8,15
2013-08-16,0.003082,0.0031620000000000003,0.002875,0.003134,0,24497514.0,Friday,2013,8,16
2013-08-17,0.0031379999999999997,0.005683,0.0031379999999999997,0.005671,0,44335331.0,Saturday,2013,8,17
2013-08-18,0.005686999999999999,0.006263,0.0055850000000000006,0.0056170000000000005,0,43916527.0,Sunday,2013,8,18
2013-08-19,0.005587,0.0058390000000000004,0.005222999999999999,0.00526,0,41125306.0,Monday,2013,8,19
2013-08-20,0.005376,0.006157999999999999,0.005309,0.006097999999999999,0,47673883.0,Tuesday,2013,8,20
2013-08-21,0.006097999999999999,0.0063490000000000005,0.00595,0.006131,0,47928746.0,Wednesday,2013,8,21
2013-08-22,0.006131,0.006138,0.005143,0.005143,0,40205218.0,Thursday,2013,8,22
2013-08-23,0.005179,0.005232,0.004919,0.005139,0,40172930.0,Friday,2013,8,23
2013-08-24,0.005139,0.005603,0.0051259999999999995,0.005546,0,43357939.0,Saturday,2013,8,24
2013-08-25,0.005526,0.006148,0.005519,0.006104,0,47719539.0,Sunday,2013,8,25
2013-08-26,0.006104,0.006506999999999999,0.006065,0.006417,0,50166773.0,Monday,2013,8,26
2013-08-27,0.006468000000000001,0.006936,0.006372999999999999,0.006451999999999999,0,50441338.0,Tuesday,2013,8,27
2013-08-28,0.006451,0.006462999999999999,0.006065999999999999,0.006246,0,48830305.0,Wednesday,2013,8,28
2013-08-29,0.006246,0.006246,0.005756,0.005763,0,45051372.0,Thursday,2013,8,29
2013-08-30,0.00576,0.0062640000000000005,0.00561,0.0059299999999999995,0,46362745.0,Friday,2013,8,30
